direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
short,48740.18,48781.03140771638,48590.18,2026-03-05 01:15:00,asia,48751.03140771638,98083.5258028631,48785.19452442828,2026-03-05 02:10:00,sl,-47.01452442828304,-47.01452442828304,98036.51127843483,98036.51127843483
short,48760.31,48806.26529797072,48610.31,2026-03-05 03:00:00,asia,48776.26529797072,98036.51127843483,48610.31,2026-03-05 03:40:00,tp,148.0,148.0,98184.51127843483,98184.51127843483
long,48650.91,48563.533371208476,48800.91,2026-03-05 11:00:00,london,48593.533371208476,98184.51127843483,48800.91,2026-03-05 11:10:00,tp,148.0,148.0,98332.51127843483,98332.51127843483
short,48605.91,48645.390723182725,48455.91,2026-03-05 13:55:00,new_york,48615.390723182725,98332.51127843483,48645.155821951535,2026-03-05 14:20:00,sl,-41.24582195153198,-41.24582195153198,98291.26545648329,98291.26545648329
short,48598.41,48645.100874609954,48448.41,2026-03-05 14:30:00,new_york,48615.100874609954,98291.26545648329,48448.41,2026-03-05 15:35:00,tp,148.0,148.0,98439.26545648329,98439.26545648329
long,47923.88,47887.88,48073.88,2026-03-06 01:05:00,asia,47917.88,98439.26545648329,48073.88,2026-03-06 02:05:00,tp,148.0,148.0,98587.26545648329,98587.26545648329
short,48023.41,48058.851454193515,47873.41,2026-03-06 03:20:00,asia,48028.851454193515,98587.26545648329,48057.95286728752,2026-03-06 03:55:00,sl,-36.54286728751322,-36.54286728751322,98550.72258919578,98550.72258919578
short,48031.91,48062.28733577123,47881.91,2026-03-06 04:35:00,asia,48032.28733577123,98550.72258919578,48061.104219902685,2026-03-06 05:50:00,sl,-31.194219902681652,-31.194219902681652,98519.5283692931,98519.5283692931
short,48033.91,48068.47471436528,47883.91,2026-03-06 08:25:00,london,48038.47471436528,98519.5283692931,48059.712215709595,2026-03-06 10:45:00,sl,-27.80221570959111,-27.80221570959111,98491.7261535835,98491.7261535835
short,47995.01,48059.453793694214,47845.01,2026-03-06 10:55:00,london,48029.453793694214,98491.7261535835,47845.01,2026-03-06 11:25:00,tp,148.0,148.0,98639.7261535835,98639.7261535835
long,46533.68,46479.54505808758,46683.68,2026-03-09 01:10:00,asia,46509.54505808758,98639.7261535835,46492.28938294195,2026-03-09 01:25:00,sl,-43.39061705805216,-43.39061705805216,98596.33553652544,98596.33553652544
long,46592.68,46498.46979900391,46742.68,2026-03-09 01:30:00,asia,46528.46979900391,98596.33553652544,46560.884472275524,2026-03-09 02:35:00,sl,-33.795527724476415,-33.795527724476415,98562.54000880096,98562.54000880096
long,46601.31,46560.74800151759,46751.31,2026-03-09 02:40:00,asia,46590.74800151759,98562.54000880096,46574.90113782936,2026-03-09 03:20:00,sl,-28.408862170639622,-28.408862170639622,98534.13114663033,98534.13114663033
long,46640.81,46575.28148273252,46790.81,2026-03-09 03:25:00,asia,46605.28148273252,98534.13114663033,46578.685732558835,2026-03-09 03:45:00,sl,-64.12426744116237,-64.12426744116237,98470.00687918917,98470.00687918917
